  1000 K   2deg  0.6499 0.3474  2.472e+06    1.0000 0.0337 0.0000  255  51   0  #ff3300
  1100 K   2deg  0.6361 0.3594  2.112e+07    1.0000 0.0592 0.0000  255  69   0  #ff4500
  1200 K   2deg  0.6226 0.3703  1.282e+08    1.0000 0.0846 0.0000  255  82   0  #ff5200
  1300 K   2deg  0.6095 0.3801  5.959e+08    1.0000 0.1096 0.0000  255  93   0  #ff5d00
  1400 K   2deg  0.5966 0.3887  2.243e+09    1.0000 0.1341 0.0000  255 102   0  #ff6600
  1500 K   2deg  0.5841 0.3962  7.121e+09    1.0000 0.1578 0.0000  255 111   0  #ff6f00
  1600 K   2deg  0.5720 0.4025  1.967e+10    1.0000 0.1806 0.0000  255 118   0  #ff7600
  1700 K   2deg  0.5601 0.4076  4.839e+10    1.0000 0.2025 0.0000  255 124   0  #ff7c00
  1800 K   2deg  0.5486 0.4118  1.081e+11    1.0000 0.2235 0.0000  255 130   0  #ff8200
  1900 K   2deg  0.5375 0.4150  2.224e+11    1.0000 0.2434 0.0000  255 135   0  #ff8700
  2000 K   2deg  0.5267 0.4173  4.268e+11    1.0000 0.2647 0.0033  255 141  11  #ff8d0b
  2100 K   2deg  0.5162 0.4188  7.710e+11    1.0000 0.2889 0.0120  255 146  29  #ff921d
  2200 K   2deg  0.5062 0.4196  1.322e+12    1.0000 0.3126 0.0219  255 152  41  #ff9829
  2300 K   2deg  0.4965 0.4198  2.166e+12    1.0000 0.3360 0.0331  255 157  51  #ff9d33
  2400 K   2deg  0.4872 0.4194  3.408e+12    1.0000 0.3589 0.0454  255 162  60  #ffa23c
  2500 K   2deg  0.4782 0.4186  5.178e+12    1.0000 0.3814 0.0588  255 166  69  #ffa645
  2600 K   2deg  0.4696 0.4173  7.624e+12    1.0000 0.4034 0.0734  255 170  77  #ffaa4d
  2700 K   2deg  0.4614 0.4158  1.092e+13    1.0000 0.4250 0.0889  255 174  84  #ffae54
  2800 K   2deg  0.4535 0.4139  1.524e+13    1.0000 0.4461 0.1054  255 178  91  #ffb25b
  2900 K   2deg  0.4460 0.4118  2.081e+13    1.0000 0.4668 0.1229  255 182  98  #ffb662
  3000 K   2deg  0.4388 0.4095  2.784e+13    1.0000 0.4870 0.1411  255 185 105  #ffb969
  3100 K   2deg  0.4320 0.4070  3.657e+13    1.0000 0.5067 0.1602  255 189 111  #ffbd6f
  3200 K   2deg  0.4254 0.4044  4.725e+13    1.0000 0.5259 0.1800  255 192 118  #ffc076
  3300 K   2deg  0.4192 0.4018  6.012e+13    1.0000 0.5447 0.2005  255 195 124  #ffc37c
  3400 K   2deg  0.4132 0.3990  7.545e+13    1.0000 0.5630 0.2216  255 198 130  #ffc682
  3500 K   2deg  0.4075 0.3962  9.349e+13    1.0000 0.5809 0.2433  255 201 135  #ffc987
  3600 K   2deg  0.4021 0.3934  1.145e+14    1.0000 0.5983 0.2655  255 203 141  #ffcb8d
  3700 K   2deg  0.3969 0.3905  1.387e+14    1.0000 0.6153 0.2881  255 206 146  #ffce92
  3800 K   2deg  0.3919 0.3877  1.665e+14    1.0000 0.6318 0.3112  255 208 151  #ffd097
  3900 K   2deg  0.3872 0.3849  1.979e+14    1.0000 0.6480 0.3346  255 211 156  #ffd39c
  4000 K   2deg  0.3827 0.3820  2.333e+14    1.0000 0.6636 0.3583  255 213 161  #ffd5a1
  4100 K   2deg  0.3784 0.3793  2.729e+14    1.0000 0.6789 0.3823  255 215 166  #ffd7a6
  4200 K   2deg  0.3743 0.3765  3.169e+14    1.0000 0.6938 0.4066  255 217 171  #ffd9ab
  4300 K   2deg  0.3704 0.3738  3.654e+14    1.0000 0.7083 0.4310  255 219 175  #ffdbaf
  4400 K   2deg  0.3666 0.3711  4.188e+14    1.0000 0.7223 0.4556  255 221 180  #ffddb4
